구별,2013결혼,2013이혼,2014결혼,2014이혼,2015결혼,2016이혼,2016결혼,2016이혼,2017결혼,2017이혼
서울평균,2753,805,2593,779,2618,727,2306,711,2151,683
종로구,877,348,840,341,806,276,760,260,700,265
중구,860,320,851,288,916,267,799,249,792,253
용산구,1795,450,1560,471,1515,424,1366,441,1357,389
성동구,2432,613,2125,596,2083,563,1944,547,2096,509
광진구,2685,743,2589,713,2576,651,2285,649,2082,612
동대문구,2327,740,2123,770,2159,714,1796,666,1657,624
중랑구,2813,1040,2769,1105,2716,1028,2591,933,2302,956
성북구,2809,934,2415,907,2379,823,2131,833,1917,732
강북구,1975,848,1819,831,1715,738,1500,722,1436,742
도봉구,2062,801,1791,777,1810,728,1636,670,1543,666
노원구,3432,1075,3176,1067,3146,984,2778,955,2420,1003
은평구,3277,1073,2916,980,2812,948,2573,947,2331,917
서대문구,1974,612,1732,538,1722,528,1660,532,1546,485
마포구,2986,718,2827,636,3205,613,2588,636,2294,576
양천구,2644,910,2490,873,2516,775,2258,821,2021,700
강서구,4331,1181,4338,1092,4578,1118,4111,1112,4069,1120
구로구,3357,883,3156,826,3045,817,2674,783,2460,775
금천구,1594,623,1556,603,1481,557,1324,535,1439,525
영등포구,3086,817,2951,773,2934,726,2609,693,2539,628
동작구,3130,658,2962,715,2855,632,2514,590,2282,598
관악구,4183,1089,3949,1005,3859,896,3537,926,3205,817
서초구,2988,633,2871,626,2846,597,2676,565,2288,561
강남구,3591,884,3560,899,3380,852,3032,867,2677,805
송파구,4445,1140,4480,1121,4386,1069,4102,1039,3896,1041
강동구,3166,993,2977,924,2753,852,2399,806,2427,784
